# test comment
"lm.model","lm.AIC","lm.p_value","lm.std_err","lm.t_value","lm.estimate","anova_c_0.001.model","anova_c_0.001.p_value","anova_c_0.001.estimate","anova_c_0.001.std_err","anova_c_0.001.AIC","anova_c_1.model","anova_c_1.p_value","anova_c_1.estimate","anova_c_1.std_err","anova_c_1.AIC","anova_c_100000000.model","anova_c_100000000.p_value","anova_c_100000000.estimate","anova_c_100000000.std_err","anova_c_100000000.AIC","anova_c_10000.model","anova_c_10000.p_value","anova_c_10000.estimate","anova_c_10000.std_err","anova_c_10000.AIC","tweedie.model","tweedie.AIC","tweedie.p_value","tweedie.std_err","tweedie.t_value","tweedie.estimate","tweedie.link.power","tweedie.var.power","quantile_regression.model","quantile_regression.AIC","quantile_regression.p_value","quantile_regression.estimate","quantile_regression.lower_bound","quantile_regression.upper_bound","quantile_regression.std_err"
"lm",1995.28750572034,0.0748731185958647,4.96937409873058,1.7906751209547,8.89853456531354,"anova",0.0371956738150161,1.37203079991204,0.654047235676824,1184.13966546578,"anova",0.0145795984561236,0.489776529458664,0.198746862253593,707.680622006548,"anova",0.0748729367890689,8.89852407147164e-08,4.96936510733802e-08,-5372.98551560573,"anova",0.0732136912585569,0.000879290862230839,0.000488205086213769,-1695.94004550731,"tweedie",2592.43570239331,0.0359166353880667,0.397799356050205,2.11227179976691,0.840260361750286,0,1.5,"quantile_regression",1638.4623322408,0.0262311778163173,3.35566501117799,0.576074255266614,4.99461231786619,1.49835503320424
"lm",1605.53280634945,0.166701438561819,1.87555974939634,1.38798500647211,2.6032488109047,"anova",0.371877673108086,0.585179583428401,0.653837254249977,1184.0112251148,"anova",0.075879712492303,0.335161931982356,0.18782233930254,685.066440532961,"anova",0.166701242936575,2.60324926870778e-08,1.87555920987934e-08,-5762.73960629412,"anova",0.165444128636833,0.000260350136304968,0.000187015439000927,-2079.75780600937,"tweedie",2103.10765179291,0.184479933321262,0.268784572091145,1.33173005745964,0.357948493635205,0,1.5,"quantile_regression",1477.12423205424,0.19843456174863,1.8768394937419,-1.79769313486232e+308,4.40583000417516,1.4545215240773
"lm",1974.64615539715,0.0541057273312793,4.71944175567911,1.93750899902009,9.14396087197946,"anova",0.0115521257631969,1.67275401567332,0.656168620796193,1185.43495552818,"anova",0.00623489157266758,0.569932981796316,0.206142696219705,722.295287235648,"anova",0.0541056197319404,9.14395581874537e-08,4.71943701614573e-08,-5393.62654388688,"anova",0.0531177116829791,0.00090914737541455,0.000467282305524601,-1713.46084253085,"tweedie",2738.29860990327,0.0532918994831606,0.361388003315935,1.94416955092455,0.70259955211626,0,1.5,"quantile_regression",1706.54249610501,0.0157782490954705,4.43450265870918,0.885675404675002,6.96848964711706,1.82116107293006
"lm",2040.0085453665,0.0566954377612336,5.55721173199345,1.9168600827634,10.6523973405227,"anova",0.640915613424302,0.310286106383436,0.664229549135056,1190.3189541089,"anova",0.385861784319122,0.18142026653413,0.208752499124893,727.327569809974,"anova",0.0566954164506886,1.06523831508105e-07,5.55720384632666e-08,-5328.26431981365,"anova",0.0566129263822907,0.00105082333018892,0.00054801576685265,-1649.71265272369,"tweedie",2846.57583940631,0.0209488776920281,0.351605314807051,2.32750351868879,0.818362607403089,0,1.5,"quantile_regression",1720.03841007405,0.944094647266378,-0.12783959206227,-2.35959984385936,2.99223710703266,1.82072843708137
"lm",1876.09387909731,0.0356586668783378,3.68883182651688,2.11525338656094,7.80281401349359,"anova",0.134973118822854,0.97907569651941,0.652323597661001,1183.08413729749,"anova",0.0370282141504754,0.422066264283841,0.201019262696659,712.228130715541,"anova",0.0356586159319091,7.8028099373094e-08,3.68882886940333e-08,-5492.17873913959,"anova",0.035251014928271,0.000775896424679018,0.000365988357771288,-1811.19366657796,"tweedie",2522.5274653074,0.0270462266589218,0.317105479465394,2.22740433699296,0.706322120245451,0,1.5,"quantile_regression",1646.28709392839,0.77728239656751,0.48059380444353,-0.716448134498299,5.51120621876601,1.69672236767247
"lm",1869.75138790482,0.947188017904332,3.63080214979633,-0.0663224640591864,-0.240803745085883,"anova",0.455698696762189,0.487935845477816,0.652829628448104,1183.39431133826,"anova",0.674663534943359,0.0822147451634059,0.195572314791255,701.239918668339,"anova",0.9471880018555,-2.40803621623885e-09,3.63079918327809e-08,-5498.5212364931,"anova",0.946272052904703,-2.43021523177117e-05,0.000360167979627777,-1817.60606290944,"tweedie",2495.65224684679,0.947211740055565,0.351318853231413,-0.0662926293438406,-0.0232898505187732,0,1.5,"quantile_regression",1602.09838959942,0.302011357078848,1.58606343572427,-0.96555017800628,4.30124919439436,1.53268277687243
"lm",1706.26581353975,0.309066719253349,2.41268362628662,1.01980218721774,2.46046003915153,"anova",0.0572935959917269,1.23316851576652,0.64489397465123,1178.5022047632,"anova",0.0151823822567897,0.455800116070521,0.186093021919203,681.366502220395,"anova",0.30906608123588,2.46046165062562e-08,2.4126820163701e-08,-5662.00675095013,"anova",0.303657655123003,0.000247183995303442,0.000239681661119266,-1980.50962363856,"tweedie",2136.1218205579,0.342152187413702,0.319785191388361,0.952208515183162,0.304502182269475,0,1.5,"quantile_regression",1504.66956991185,0.0875750951953576,2.71356552738077,0.697402932163038,6.06035375660695,1.58057281124646
"lm",1786.05253427423,0.628350247200264,2.94528759502929,0.484805471021551,1.42789153980211,"anova",0.6176169600144,0.329744904124689,0.659464774796398,1187.43925910261,"anova",0.719584847386312,0.072045161229817,0.200389345932381,710.972717118895,"anova",0.628350047018531,1.4278916542033e-08,2.94528611365757e-08,-5582.21996449211,"anova",0.627273742073019,0.000142519973652526,0.000293054282131545,-1900.09113394669,"tweedie",2416.60254843476,0.629139008145557,0.282848494896052,0.483691943562352,0.136811538229957,0,1.5,"quantile_regression",1606.87230239986,0.880160575576257,-0.28579183752206,-2.71010642762207,3.7057343406156,1.89315662881934
"lm",1906.26733139918,0.741648583593793,3.97785790867281,-0.330132889465708,-1.31322172527417,"anova",0.937017230613011,0.0526727975087554,0.665734618552518,1191.22428379914,"anova",0.983205974343493,0.00431618549005191,0.204788085389579,719.658121469671,"anova",0.74164915736815,-1.31321722164636e-08,3.9778534308861e-08,-5462.00541645318,"anova",0.746568275973617,-0.000127308672035075,0.000393390947145654,-1782.31271844527,"tweedie",2560.96013060213,0.736711454557897,0.34201717634434,-0.336684331930213,-0.115151824526152,0,1.5,"quantile_regression",1644.5772253963,0.963471246805406,-0.0966208588641697,-2.24670615305574,2.42683513431369,2.10704982974182
"lm",1709.16602542362,0.323812633181736,2.43024043175522,0.989117932060063,2.40379439026648,"anova",0.00312982062576712,1.90130881333326,0.635590311421407,1172.68951214207,"anova",0.0114031633781573,0.485642277696173,0.190153456353971,690.000400082146,"anova",0.323812324217398,2.40379497553639e-08,2.43023946781419e-08,-5659.10643081508,"anova",0.321169357285203,0.000240746091935635,0.000242065506383176,-1976.55092516443,"tweedie",2244.61461072689,0.339876872523633,0.276740498759304,0.956716826008155,0.264762291600915,0,1.5,"quantile_regression",1543.80923501775,0.032960620390011,3.49143234208672,1.12126581405765,4.31047472723984,1.62573457262216
