"lm.model","lm.AIC","lm.p_value","lm.std_err","lm.t_value","lm.estimate","anova.model","anova.p_value","anova.estimate","anova.std_err","anova.AIC","anova._c_10000.model","anova._c_10000.p_value","anova._c_10000.estimate","anova._c_10000.std_err","anova._c_10000.AIC","anova._c_100.model","anova._c_100.p_value","anova._c_100.estimate","anova._c_100.std_err","anova._c_100.AIC","anova._c_10.model","anova._c_10.p_value","anova._c_10.estimate","anova._c_10.std_err","anova._c_10.AIC","anova._c_0.5.model","anova._c_0.5.p_value","anova._c_0.5.estimate","anova._c_0.5.std_err","anova._c_0.5.AIC","tweedie.model","tweedie.AIC","tweedie.p_value","tweedie.std_err","tweedie.t_value","tweedie.estimate","tweedie.link.power","tweedie.var.power","quantile_regression.model","quantile_regression.AIC","quantile_regression.p_value","quantile_regression.estimate","quantile_regression.lower_bound","quantile_regression.upper_bound","quantile_regression.std_err"
"lm",1981.61857185494,0.0036667644708529,4.80242770363614,2.94051472857649,14.1216093954658,"anova",0.0121696360462441,0.584973942831267,0.231173548945342,768.135324634866,"anova",0.00350988720425543,0.00140597386060184,0.000475853531448125,-1706.19023605366,"anova",0.00055875939443563,0.102102071550736,0.0291058001598529,-60.75717538637,"anova",0.000576832763421638,0.366654984212211,0.104789870268089,451.650679391158,"anova",0.0265650134778403,0.614869811774044,0.275165493127029,837.816919544288,"tweedie",2949.59535554295,0.00535293148746971,0.324364315441121,2.81609970605504,0.913442253368484,0,1.5,"quantile_regression",1799.37163687102,0.0726947532260305,5.09776577340788,-1.79769313486232e+308,1.79769313486232e+308,2.82525070640386
"lm",2085.7277051471,0.000229812539557615,6.23011252775222,3.75266633759721,23.3795335623384,"anova",0.0102070824889778,0.598879394660246,0.230906408264084,767.672823361046,"anova",0.000216563735399319,0.00231601460823426,0.000614557816979181,-1603.87307101989,"anova",4.01193816188313e-05,0.13896716056975,0.033077112816697,-9.59552938471098,"anova",0.000163899938018292,0.415478582383721,0.108123725061958,464.178305143156,"anova",0.0258920749923573,0.61544476248955,0.274174029946593,836.373055827478,"tweedie",3012.26367068782,5.17041325014441e-07,0.293422465212318,5.19081516994125,1.52310178362566,0,1.5,"quantile_regression",1840.40249311842,0.565721424956661,1.41989844054167,-3.11767081761684,10.1216739736262,2.46797254394535
"lm",2269.55090184927,0.206220959604173,9.86459798139165,1.2681851768507,12.5101369355922,"anova",0.00301622329203911,0.714787114847987,0.238008952779681,779.791151478077,"anova",0.190030668611419,0.00126234618131619,0.00095995870187954,-1425.47817012449,"anova",0.00585567386219933,0.10933544386819,0.0392451084105292,58.7985595953674,"anova",0.000354292380955953,0.419457653777601,0.11539365043399,490.207567733715,"anova",0.00689757085727805,0.767241697627988,0.281005842159408,846.218019492144,"tweedie",3836.39679249848,0.264245164354471,0.514321283792554,1.11958918113901,0.575828544963668,0,1.5,"quantile_regression",1920.25063658986,0.0165624341337911,6.69773676761287,-2.44446064284538,14.8158490747978,2.77127222244803
"lm",1893.42876523987,8.15721006992547e-05,3.85221013684537,4.02346395624627,15.4992286374839,"anova",0.0107887677218871,0.581855489012304,0.226066349984189,759.199251678253,"anova",8.05479305973756e-05,0.00154249925352954,0.000383069561399909,-1792.94763793157,"anova",5.09645013395012e-05,0.109934312008092,0.0265414623459541,-97.6489135628691,"anova",0.000218850555253256,0.382046043439911,0.101452186836332,438.702884341406,"anova",0.0266970814838779,0.601391148982971,0.269371147128582,829.303898705055,"tweedie",2705.51499184638,1.63160855013965e-05,0.248468459547272,4.41902575896969,1.09798852303091,0,1.5,"quantile_regression",1770.02598753728,0.0903988016216615,4.59370344206059,-1.79769313486232e+308,11.2338948485251,2.69962717026008
"lm",1925.34838224037,8.17971143247099e-05,4.17221090189302,4.02276212972618,16.7838120133659,"anova",0.0014656488933365,0.715105236525318,0.221624541513282,751.261713860838,"anova",7.96170887713445e-05,0.00166848447987109,0.00041405293470767,-1761.83674508313,"anova",3.42506267641137e-05,0.113683377873159,0.0268109769962457,-93.6076071680096,"anova",8.97638087810059e-05,0.396361447031219,0.0991144257468555,429.377834931446,"anova",0.0030056298679757,0.79585722298454,0.264904788447923,822.616024624243,"tweedie",2752.15935940278,5.348926924241e-07,0.276643372306035,5.18363022024095,1.43401694491493,0,1.5,"quantile_regression",1726.58476488522,1,0,0,7.50494815067124,1.90465060270021
"lm",2065.80400214692,0.000453889600795716,5.92739685301947,3.5663586509414,21.1392230443288,"anova",0.00240067229053682,0.708139171163065,0.23027363863407,766.575169581188,"anova",0.000430209985722524,0.00209732846750501,0.00058563442428471,-1623.15597776549,"anova",6.65574251979354e-05,0.134473302890771,0.0329992634069105,-10.5380683101962,"anova",7.56587427074517e-05,0.43870213242247,0.108519755569186,465.640729757871,"anova",0.00590233756493712,0.76052719309079,0.273247850876103,835.019540395717,"tweedie",3068.26761125112,0.000101388828943078,0.328631415396663,3.96776899005908,1.3039335391701,0,1.5,"quantile_regression",1841.54375527999,0.0148052914785493,6.00128653506263,-3.35695200813068,10.182640721036,2.44089692598308
"lm",2098.4717919049,3.28507228946988e-05,6.43180112495019,4.25039288872137,27.3376817631584,"anova",0.00117254207067752,0.788572903747226,0.239442555575816,782.193250253559,"anova",3.05776563065435e-05,0.00270942758836594,0.000634838885306902,-1590.88577887963,"anova",3.26462522519847e-06,0.165781431591887,0.034610422025493,8.52977613085941,"anova",1.18692602157954e-05,0.511807697367151,0.113883237148409,484.937310790571,"anova",0.0034829518589279,0.836593739844719,0.282908443357592,848.917165041615,"tweedie",3055.36733690984,6.19768273785341e-08,0.257138821198145,5.62711735861198,1.44695032433711,0,1.5,"quantile_regression",1904.27594305045,0.0172827420966732,8.6305759682773,3.20733100090132,14.6771148169697,3.59481517158461
"lm",1904.93573713319,0.157659899312264,3.96463769387935,1.41835248473562,5.62325372419027,"anova",0.618757128712427,0.117682042900271,0.236120888380819,776.605400715072,"anova",0.157307440779667,0.000559992144795948,0.000394482106002864,-1781.20476375588,"anova",0.149014567717211,0.0405268199007907,0.0279753992745415,-76.6019537382422,"anova",0.237875952901465,0.127248809016055,0.107483645517502,461.803316113201,"anova",0.761034395730598,0.0852891669197683,0.280056609325628,844.864539162888,"tweedie",2954.4713425159,0.157590777056294,0.246542717521697,1.4185896931012,0.34974295798544,0,1.5,"quantile_regression",1793.18318113343,0.355572270915657,-2.57538300716883,-4.30558436489327,6.68544431874502,2.78118543431867
"lm",2203.75910823505,0.00480015024911123,8.36848531851796,2.85236591502894,23.8699822829607,"anova",0.00273056005489118,0.704035133220035,0.231991479768383,769.548093946201,"anova",0.00424850459531518,0.00235116560927536,0.000812828279631018,-1492.02632836008,"anova",0.0001184833101901,0.133137733252076,0.0338988380126237,0.220130358016352,"anova",9.3504745526758e-05,0.429806756629703,0.10775964639664,462.829135883761,"anova",0.00640708213334383,0.759428287942561,0.275604388291828,838.454420282809,"tweedie",3199.32003443986,9.26223912244152e-05,0.385544266983151,3.99099953488638,1.53870699020787,0,1.5,"quantile_regression",1847.48849695404,1,0,0,9.66377892202651,2.73584239773627
"lm",1840.01839887818,7.01422890967903e-06,3.37070233008296,4.61634234423954,15.5603158961889,"anova",0.000919052011328118,0.712222747374659,0.211653234962917,732.847536141144,"anova",6.85691795817148e-06,0.00154914664765552,0.000335200048608114,-1846.34327054083,"anova",2.66796223276012e-06,0.11312794358601,0.0233977967076764,-148.075420340487,"anova",7.84294148278786e-06,0.420838616037599,0.0916740165610525,398.163430184019,"anova",0.00314955455878265,0.761218192324467,0.254639240929507,806.806956409525,"tweedie",2441.1067655801,1.69621971794945e-08,0.247421155702492,5.88270756127019,1.45550630346926,0,1.5,"quantile_regression",1686.17816188502,0.00591699566181658,6.02191257492099,-2.43799792982343,8.72992945159758,2.16424811089195
