# test comment
"lm.model","lm.AIC","lm.p_value","lm.std_err","lm.t_value","lm.estimate","anova.model","anova.p_value","anova.estimate","anova.std_err","anova.AIC","anova_c_10000.model","anova_c_10000.p_value","anova_c_10000.estimate","anova_c_10000.std_err","anova_c_10000.AIC","anova_c_100.model","anova_c_100.p_value","anova_c_100.estimate","anova_c_100.std_err","anova_c_100.AIC","anova_c_10.model","anova_c_10.p_value","anova_c_10.estimate","anova_c_10.std_err","anova_c_10.AIC","anova_c_0.5.model","anova_c_0.5.p_value","anova_c_0.5.estimate","anova_c_0.5.std_err","anova_c_0.5.AIC","anova_c_100000000.model","anova_c_100000000.p_value","anova_c_100000000.estimate","anova_c_100000000.std_err","anova_c_100000000.AIC","tweedie.model","tweedie.AIC","tweedie.p_value","tweedie.std_err","tweedie.t_value","tweedie.estimate","tweedie.link.power","tweedie.var.power","quantile_regression.model","quantile_regression.AIC","quantile_regression.p_value","quantile_regression.estimate","quantile_regression.lower_bound","quantile_regression.upper_bound","quantile_regression.std_err"
"lm",2067.88842732485,0.0732945466060151,5.95836551085215,1.80055772607406,10.7283810553381,"anova",0.135801982991205,0.308774532771713,0.206164900996499,722.338371140899,"anova",0.0711640218626019,0.00105564911589004,0.000581888434473212,-1625.72278158454,"anova",0.0282173007200188,0.0562409755271082,0.0254429173150631,-114.557201903431,"anova",0.0406578742516149,0.18022021403316,0.0874641826610365,379.359583021519,"anova",0.180507056291904,0.335137262752003,0.249369970503777,798.442883217878,"anova",0.0732943146667441,1.07283637122446e-07,5.95835103125295e-08,-5300.38484230904,"tweedie",2650.14344555994,0.0216839010407816,0.399111573805318,2.31417696055693,0.923614808791885,0,1.5,"quantile_regression",1679.51556845473,0.181340548661525,2.51607209498259,-3.89695915829689,1.79769313486232e+308,1.87576384768625
"lm",1722.99281213789,0.0736076162774349,2.51571526407558,1.79858391909007,4.52472501897577,"anova",0.379494933819887,0.184957318455044,0.209988301377659,729.688564180064,"anova",0.0737270582840333,0.000450728435343649,0.000250706551317498,-1962.52102121974,"anova",0.083635998357186,0.0337776150881446,0.0194265617505333,-222.475647588161,"anova",0.142181264569891,0.12707149247662,0.0862328637540724,373.688377627766,"anova",0.476773385180661,0.180998156615418,0.253905208378552,805.652236405457,"anova",0.0736075987821005,4.52472373157786e-08,2.51571439427952e-08,-5645.27962374109,"tweedie",2399.31548174952,0.0647636623277238,0.238129736847014,1.85722915327904,0.44226148953494,0,1.5,"quantile_regression",1615.89090627257,0.275227212301574,-2.38407078312598,-3.15621839327169,1.79769313486232e+308,2.17896477744309
"lm",2198.08907285814,0.369501145271421,8.25069809343947,0.899458368687952,7.42115944766186,"anova",0.0617109618757581,0.407163532289404,0.216689242328092,742.253541265558,"anova",0.366408287711059,0.000727939806486668,0.000804089425429716,-1496.35008052783,"anova",0.18194405330219,0.0440386328589507,0.032876965989036,-12.0232481329665,"anova",0.0561524559863194,0.191810919053769,0.0998431261211729,432.307921780245,"anova",0.0761081064565672,0.46135150718532,0.258741091789477,813.199002052011,"anova",0.369500810792829,7.42114499052494e-08,8.2506762434407e-08,-5170.18428402846,"tweedie",3249.7796677774,0.354603317764154,0.477698813571685,0.927872686646502,0.443243681556606,0,1.5,"quantile_regression",1798.66669779318,0.0506912382281524,4.2477396410864,2.27495023587652,8.3500669241406,2.16055134960071
"lm",1904.00689922291,0.024664516745717,3.95544211004336,2.26389767710488,8.95471620485,"anova",0.0799054717708912,0.368507007918159,0.209346452796166,728.4640549757,"anova",0.0242978584155364,0.000889134614670859,0.000391726110058342,-1784.00911728654,"anova",0.0125019382170983,0.0599398213509675,0.0237792669413742,-141.606538756013,"anova",0.0133926892731733,0.222672259980854,0.0892271720162335,387.342080489976,"anova",0.129560372066325,0.384439603588228,0.252559193737334,803.526096357444,"anova",0.0246644709678936,8.95471026309979e-08,3.9554382092707e-08,-5464.26579282971,"tweedie",2595.70572062189,0.012020860197201,0.324121098532049,2.53490875206797,0.821617409398775,0,1.5,"quantile_regression",1658.04363346133,0.119426270228725,2.92892422077034,-2.65156457320316,6.98778836903502,1.87277414533721
"lm",1735.55091461867,0.0385737904217707,2.59594968926207,2.08258509481214,5.40628612973939,"anova",0.204527638096375,0.269859910172165,0.211995334414435,733.493542384248,"anova",0.0383970868272194,0.000539165267155339,0.000258653988419725,-1950.03778939986,"anova",0.0307321594321864,0.0432678038392386,0.019883252608678,-213.181044415271,"anova",0.0439524266523381,0.17803040537532,0.0878082063012688,380.929820451662,"anova",0.296582375289371,0.267834205875346,0.255920711254864,808.814905542029,"anova",0.0385737563017393,5.40628506543853e-08,2.59594871726592e-08,-5632.72153273348,"tweedie",2425.88421887521,0.038505088224558,0.242934586920159,2.083330257704,0.506112975573589,0,1.5,"quantile_regression",1634.3234526746,0.704207617126314,0.90939246090917,-3.43762100951458,7.02821229904596,2.39190569309471
"lm",1678.31177357281,0.00247281261737415,2.24982979331649,3.06593941869632,6.89784184868641,"anova",0.0156186984672978,0.465723744683364,0.190966259873941,691.706540630962,"anova",0.0024552493188739,0.000687273056527995,0.000224000781199334,-2007.57446025052,"anova",0.00172006799532232,0.0528363296167416,0.016624964496796,-284.769983992629,"anova",0.00226597410318738,0.228790502651763,0.0739651201931427,312.305288941191,"anova",0.027765073029068,0.519173298887593,0.234184654073467,773.31180525927,"anova",0.00247280929094968,6.89783977198129e-08,2.24982880661714e-08,-5689.96069943466,"tweedie",2106.86481672417,0.000421817177311587,0.25133652668861,3.58677239182863,0.901486914984805,0,1.5,"quantile_regression",1512.36184405949,7.26698359516664e-05,6.35261474535419,-1.79769313486232e+308,8.02883710920503,1.56745397691502
"lm",1720.61034598562,0.0844807065879809,2.50077578308777,1.73396552171027,4.33625898540218,"anova",0.104034369229621,0.350761360353531,0.214780805017441,738.715034214135,"anova",0.08449234676864,0.000432298937955758,0.000249321711541932,-1964.73664528604,"anova",0.084029320398005,0.0343811970407662,0.0197990369093776,-214.878846165275,"anova",0.0790858528757626,0.158179005770897,0.0896139515382368,389.072242400576,"anova",0.11912405408399,0.404959454663473,0.258720776518845,813.167594488461,"anova",0.0844806825340914,4.33625791071807e-08,2.50077496828526e-08,-5647.6620819233,"tweedie",2460.87591903197,0.0812126343371434,0.225161161387245,1.75263415094652,0.394625140914066,0,1.5,"quantile_regression",1638.73372318795,0.0243987908309635,5.05823625196594,-1.79769313486232e+308,6.59086084836655,2.23010782491656
"lm",1869.29721678009,0.349439930471811,3.62668197557899,-0.937897103104315,-3.40145451877617,"anova",0.202191806532821,-0.280640590100178,0.219323192691613,747.086398667772,"anova",0.350027133495137,-0.000337724605792999,0.000360527102374905,-1817.20742244601,"anova",0.377285524686737,-0.0218426038508466,0.0246837816864505,-126.673597961919,"anova",0.354757886256416,-0.0886871752087521,0.0956119634990105,414.987016976298,"anova",0.164001206036288,-0.367056353491351,0.26276113054691,819.365983843456,"anova",0.349440054245333,-3.40145162584425e-08,3.62667982465378e-08,-5498.97531803433,"tweedie",2712.27888627784,0.341164542923001,0.273015916156897,-0.954163051684487,-0.260501699718701,0,1.5,"quantile_regression",1702.48197047202,0.0945360589422777,-3.86035642697672,-6.33064956566337,2.42655653146949,2.2978430045434
"lm",1900.32462413893,0.0185289220932017,3.91919663345995,2.37449157058835,9.3060993696289,"anova",0.313411619177836,0.21072836790451,0.208505252864574,726.853529410577,"anova",0.0180236631597933,0.000923371344804594,0.000387161026163178,-1788.69799808251,"anova",0.00717975272523781,0.0611201540428231,0.0224988459464713,-163.746557745261,"anova",0.0210007994388226,0.203991041811952,0.0876796756679105,380.343885263892,"anova",0.522459347849364,0.161065288898682,0.251390110416853,801.670218541071,"anova",0.0185288647498791,9.3060924121456e-08,3.91919176235196e-08,-5467.94817059605,"tweedie",2446.73903349508,0.00535339070565402,0.28892323338098,2.81607102377024,0.813628345618183,0,1.5,"quantile_regression",1665.41861636871,0.544493393087393,1.48695875440458,-4.72500956134947,6.94826277762533,2.44936239251479
"lm",1664.98774264961,0.0226705483597751,2.17612220680455,2.29689768866171,4.9983300670548,"anova",0.262649954656995,0.219339903880752,0.195255540206956,700.591500906675,"anova",0.0226153567969195,0.000497795278583956,0.000216635548077916,-2020.94770012857,"anova",0.0230967109696954,0.0371924007539901,0.0162437961620169,-294.0477399016,"anova",0.0611012300928298,0.141795695869723,0.075283875781844,319.374227137085,"anova",0.356104764176152,0.221020842955201,0.238947862091888,781.365986759999,"anova",0.0226705276908295,4.99832859480623e-08,2.17612122948002e-08,-5703.28473457653,"tweedie",2178.22907886643,0.0108356547022489,0.259013656749229,2.5722740323181,0.666254103271795,0,1.5,"quantile_regression",1501.75898634634,1,0,-2.27478879439715,2.75605683087345,1.70200427529622
"lm",1707.6105384298,0.0120701645133264,2.42080826469927,2.53342689111216,6.13294075601568,"anova",0.0391371947917718,0.42472454829888,0.204537019916922,719.167429839206,"anova",0.0120635381012009,0.000611332409777296,0.000241287575013536,-1977.83848421189,"anova",0.0118180192892763,0.0479046182310191,0.0188521969185918,-234.480382592736,"anova",0.0142624360558414,0.20727278951478,0.0838331677588709,362.399325934521,"anova",0.0549684170999184,0.478662466060937,0.247942280139839,796.146226685899,"anova",0.0120701601668768,6.13293905402535e-08,2.42080746828649e-08,-5660.66189074569,"tweedie",2315.01728817233,0.00915829323739738,0.234054307049974,2.63196538688536,0.616022834806968,0,1.5,"quantile_regression",1598.10062149055,0.0016461221223445,5.57396784499351,2.19881609142522,7.72106937238779,1.74649981826188
"lm",1869.46988704879,0.0416035699041084,3.62824786391065,2.05080049949072,7.44081253158412,"anova",0.671108658645395,0.0873745919041896,0.20546137484191,720.971059322538,"anova",0.0410583431427109,0.000737805930627546,0.000358790267556002,-1819.13907405552,"anova",0.0329410228873688,0.0459868439201606,0.0214106789035662,-183.57623969727,"anova",0.131828966806448,0.128134783822571,0.0846792482136164,366.416062907393,"anova",0.864745470921376,0.0424978851209449,0.249169675209407,798.121471981087,"anova",0.041603501675218,7.44080660831955e-08,3.62824374926451e-08,-5498.80286415591,"tweedie",2444.75789380217,0.0148854663300551,0.304120156486794,2.45663941450707,0.747113563171515,0,1.5,"quantile_regression",1612.9420674633,0.0463907629932545,-3.29420110773358,-4.09969992956625,5.19080870582187,1.64349297185699
"lm",2093.27030643089,0.816080925012734,6.34870527290853,-0.232898340640007,-1.47860292327286,"anova",0.770851035053719,0.0611219216706405,0.209564818427093,728.881070540963,"anova",0.828286482963196,-0.000134762443335987,0.000620491234104194,-1600.02968503047,"anova",0.714954948068351,0.0101388275121915,0.027721957713653,-80.2422458286329,"anova",0.496519502852667,0.0628477162006206,0.0922557168196091,400.693536381859,"anova",0.895883511418402,0.0330393831260238,0.252148605979992,802.87528359307,"anova",0.816082221579378,-1.47858883352378e-08,6.34869035367829e-08,-5275.00293113685,"tweedie",2954.91448207033,0.811139918819633,0.475459241827147,-0.239274907405583,-0.113765466063319,0,1.5,"quantile_regression",1703.8115750521,0.118570806838595,-2.63611530822563,-4.10517516947583,5.31265781781695,1.68162287936057
"lm",1582.72262083323,0.112685856906005,1.77159750386017,1.59330957021565,2.82270325747056,"anova",0.425580556496828,0.156017033081289,0.195406015194051,700.899644858813,"anova",0.11249734320564,0.000281708303984844,0.000176713744335176,-2102.42181208964,"anova",0.105542765216359,0.0236981982307273,0.0145746464009977,-337.418775879936,"anova",0.160794516295715,0.103757510438989,0.0737082829091259,310.913907486759,"anova",0.522345756777146,0.1534891691636,0.23949984834579,782.288949059557,"anova",0.112685761287262,2.82270332298648e-08,1.77159707102541e-08,-5785.54977447529,"tweedie",2127.36432717899,0.111235072477337,0.239207721984236,1.59981033098031,0.382686984880645,0,1.5,"quantile_regression",1485.39240717245,1,0,-2.39809490805755,2.16521675251921,1.61833546116212
