"lm.model","lm.AIC","lm.p_value","lm.std_err","lm.t_value","lm.estimate","anova.model","anova.p_value","anova.estimate","anova.std_err","anova.AIC","anova._c_10000.model","anova._c_10000.p_value","anova._c_10000.estimate","anova._c_10000.std_err","anova._c_10000.AIC","anova._c_100.model","anova._c_100.p_value","anova._c_100.estimate","anova._c_100.std_err","anova._c_100.AIC","anova._c_10.model","anova._c_10.p_value","anova._c_10.estimate","anova._c_10.std_err","anova._c_10.AIC","anova._c_0.5.model","anova._c_0.5.p_value","anova._c_0.5.estimate","anova._c_0.5.std_err","anova._c_0.5.AIC","tweedie.model","tweedie.AIC","tweedie.p_value","tweedie.std_err","tweedie.t_value","tweedie.estimate","tweedie.link.power","tweedie.var.power","quantile_regression.model","quantile_regression.AIC","quantile_regression.p_value","quantile_regression.estimate","quantile_regression.lower_bound","quantile_regression.upper_bound","quantile_regression.std_err"
"lm",2003.54096015174,3.80258930276845e-06,5.0729755167607,4.75567356207147,24.1254155460947,"anova",0.00108507620178683,0.791574922290594,0.238691484397092,780.936578720143,"anova",3.70529243195835e-06,0.00239702013656328,0.000503416297824078,-1683.66729292014,"anova",1.56251896172446e-06,0.15781306672552,0.0318622058036622,-24.5639498561877,"anova",9.80239337152441e-06,0.50696722939949,0.111694597439211,477.175170884695,"anova",0.00337151672757037,0.838038922108051,0.282398114712854,848.19496746427,"tweedie",2957.48682676278,1.90940281761265e-08,0.24542457921813,5.85966153873194,1.43810496750395,0,1.5,"quantile_regression",1864.0742221138,0.0162343120600381,8.33461618852681,-1.79769313486232e+308,1.79769313486232e+308,3.437888573026
"lm",2141.60633023504,0.0394998497231276,7.16416100122622,2.07265008154284,14.8487988833776,"anova",0.0285648920452384,0.511226965626492,0.231789067198512,769.198941599824,"anova",0.0383820913602883,0.00146444861049115,0.000702485574559407,-1550.38432936409,"anova",0.0145795199229226,0.0832873269580416,0.0337972126627324,-0.98083100051079,"anova",0.009217869209696,0.283716581995787,0.107890032981262,463.312833706588,"anova",0.0415292320752841,0.564835548171054,0.275320516639406,838.042209217377,"tweedie",3393.21988187643,0.0195094189392094,0.400479182108258,2.3548375698237,0.943063423960792,0,1.5,"quantile_regression",1812.07279703261,1,0,0,8.30662899202548,2.41798973009697
"lm",2067.7881117602,7.52012891234808e-05,5.95687140621088,4.0441408546508,24.0904270197586,"anova",0.117631970270109,0.372275461590991,0.236871541672559,777.875025976299,"anova",7.27762787269306e-05,0.00238831028517058,0.000589349299723478,-1620.62665740753,"anova",4.03221378045653e-05,0.142779153309195,0.0339945084844717,1.34743416737701,"anova",0.000968140480801196,0.377565157054108,0.112711639509079,480.800913367627,"anova",0.269845876902591,0.309504614632444,0.279710975027238,844.370570806053,"tweedie",3033.69408049672,1.77888306885101e-07,0.257122979720648,5.4132667239281,1.39187527007902,0,1.5,"quantile_regression",1873.10522746567,0.190044492215762,-3.55751515096985,-5.26252729331534,7.04252824171298,2.70541844659512
"lm",1839.18175458402,0.000386658040328999,3.36365950089968,3.61090165378968,12.145843654584,"anova",0.0239390806238756,0.518129079282586,0.227686569027828,762.055829981925,"anova",0.000385320065694692,0.00120936232262162,0.00033483088304852,-1846.78404493438,"anova",0.000372196350290182,0.088546593247081,0.0244507162688496,-130.468360099555,"anova",0.00137663925509531,0.323445823944163,0.0996600258804114,431.573696620053,"anova",0.0464854388465169,0.54500790580312,0.272025985101492,833.226873681677,"tweedie",2712.72656866686,0.00012503685045902,0.243494712096386,3.91351516469686,0.952920248312701,0,1.5,"quantile_regression",1728.10424250185,1,0,-2.18415162238549,8.15420779614147,3.10884000377231
"lm",2102.41733572134,0.0932162121777951,6.49555743254068,1.68680238232336,10.9567217517278,"anova",0.126552787320684,0.361920814325295,0.235886975869707,776.208945404935,"anova",0.0910883471657701,0.00108183050921489,0.000637139505428419,-1589.43882182627,"anova",0.0351583731192291,0.0675716507311711,0.0318570559490726,-24.6286066580293,"anova",0.0287536496043186,0.240966338831828,0.109384632220053,468.815998328788,"anova",0.18995983051909,0.367667483692429,0.279550038821028,844.140358140886,"tweedie",3301.32343471617,0.070305204168605,0.37150543232845,1.81976351458062,0.676052031219815,0,1.5,"quantile_regression",1810.27552604601,1,0,-2.33667435058254,2.37758779356979,2.7303228208691
"lm",2084.13456142232,0.00244430377448349,6.20534821517966,3.06957177254806,19.047761720147,"anova",0.0652019159896709,0.439831254224614,0.237211774490674,778.449157762721,"anova",0.00239426420499235,0.00188868678772625,0.000613998843542463,-1604.2370581233,"anova",0.00111022635373336,0.115373029929099,0.0348607221091184,11.4121373737908,"anova",0.00310539393504201,0.337357095719616,0.112681204996177,480.692890371051,"anova",0.124382362043339,0.433013325684908,0.280596965606153,845.635577068644,"tweedie",3282.52345530817,0.00108181286745635,0.33350913370146,3.31719868134065,1.10631605852955,0,1.5,"quantile_regression",1857.13140147945,0.475442987400912,-1.76631574851766,-3.24783428095662,7.90129758332115,2.47032541099493
"lm",1822.21131108721,4.92730625482489e-05,3.22393740691087,4.15039082174858,13.3806002235348,"anova",0.0135121278817089,0.556094072906434,0.223123728757283,753.958417632472,"anova",4.87860713538677e-05,0.00133244599780172,0.000320850022615989,-1863.84475811521,"anova",3.99406786771751e-05,0.0982083521086585,0.0233695337152015,-148.558885967624,"anova",0.000265855650012238,0.358901714880276,0.0966508285606582,419.309746969069,"anova",0.0332442203267082,0.572284368385244,0.266911547498366,825.634763898476,"tweedie",2536.00963537041,4.98737700562423e-06,0.216686523455392,4.69432068432755,1.01719602907167,0,1.5,"quantile_regression",1732.75742143736,0.0237772073130871,6.77109284047444,-1.79769313486232e+308,12.4456301408542,2.97201540919954
"lm",1987.3353920736,0.0012785586465625,4.87155706658928,3.26761092636435,15.9183530991946,"anova",0.00816766298203795,0.632121503891918,0.236570705830154,777.366687931724,"anova",0.00124713881658844,0.00158361184448472,0.00048354099537228,-1699.77983595968,"anova",0.000423856002519375,0.111085344247986,0.0309824160902828,-35.7642361323454,"anova",0.00050754737496502,0.3885487142552,0.109912900904316,470.743132477771,"anova",0.017230849983944,0.673559539562416,0.280419264990829,845.382178879323,"tweedie",3099.79708739222,0.0013681774782638,0.304222785747284,3.24734161358211,0.987915311957029,0,1.5,"quantile_regression",1823.90993666778,0.0954470433916119,4.56499235419153,-1.79769313486232e+308,12.3012284485678,2.72482369349201
"lm",2169.75980566596,0.0449762654596588,7.68656996900895,2.01766212026882,15.5089010612652,"anova",0.00569911691819235,0.673420775233908,0.24093013031753,784.670625908775,"anova",0.040791591598869,0.00155209405558322,0.000753765889126213,-1522.20154482078,"anova",0.00141466486805029,0.117716464891209,0.0363624449352161,28.2824394004602,"anova",0.000524566692601717,0.406576831796801,0.115315400528122,489.936230623907,"anova",0.0114508823485755,0.726205066028443,0.284513406716593,851.179986100045,"tweedie",3544.46661928264,0.086813839363519,0.455402532864823,1.72099481958407,0.783745399885826,0,1.5,"quantile_regression",1892.67879437742,0.040957281175116,6.24579800631784,-1.79769313486232e+308,9.91423002227764,3.0357567538639
"lm",1941.12233668485,4.70749865569269e-06,4.3400287552332,4.7074332207325,20.4303955413191,"anova",0.0161458595071376,0.550528446315627,0.226892430026596,760.65824705659,"anova",4.62379014593583e-06,0.00203121787072371,0.000431119017582941,-1745.68059804204,"anova",3.27836871560652e-06,0.136475713521261,0.0284978248225358,-69.2010594577997,"anova",7.06316626618807e-05,0.420173626868869,0.103490357245977,446.659212267782,"anova",0.0472955082378134,0.539366602628243,0.270212914987512,830.551924509967,"tweedie",2728.92202063177,7.88878651065831e-10,0.241171194397243,6.46125363889364,1.55826825739551,0,1.5,"quantile_regression",1779.95469247359,0.259497718851982,-2.42084751975517,-3.6136032663842,7.4233674552205,2.1407849114402
