"lm.model","lm.AIC","lm.p_value","lm.std_err","lm.t_value","lm.estimate","anova.model","anova.p_value","anova.estimate","anova.std_err","anova.AIC","anova._c_10000.model","anova._c_10000.p_value","anova._c_10000.estimate","anova._c_10000.std_err","anova._c_10000.AIC","anova._c_100.model","anova._c_100.p_value","anova._c_100.estimate","anova._c_100.std_err","anova._c_100.AIC","anova._c_10.model","anova._c_10.p_value","anova._c_10.estimate","anova._c_10.std_err","anova._c_10.AIC","anova._c_0.5.model","anova._c_0.5.p_value","anova._c_0.5.estimate","anova._c_0.5.std_err","anova._c_0.5.AIC","tweedie.model","tweedie.AIC","tweedie.p_value","tweedie.std_err","tweedie.t_value","tweedie.estimate","tweedie.link.power","tweedie.var.power","quantile_regression.model","quantile_regression.AIC","quantile_regression.p_value","quantile_regression.estimate","quantile_regression.lower_bound","quantile_regression.upper_bound","quantile_regression.std_err"
"lm",2081.22332718263,0.0279287910222852,6.16034911199438,2.21458954968436,13.64264476583,"anova",0.0471347555934218,0.42227051778023,0.211394572072173,732.358394406001,"anova",0.0265570994416582,0.00134581454166908,0.000602244730732481,-1611.96871912729,"anova",0.00527179883409393,0.0776397055518203,0.0275200739302905,-83.1658846032668,"anova",0.00700050052775982,0.255316349789682,0.0936848868144745,406.842588763872,"anova",0.0753530778556349,0.453649913549227,0.253761149159026,805.425222389258,"tweedie",2882.1187717828,0.00365843908739385,0.422691540122309,2.94125008201191,1.24324152705048,0,1.5,"quantile_regression",1686.77801090407,1,0,0,0.319286092940984,1.46643430025614
"lm",1749.01629154831,0.00105670560634917,2.68482583753349,3.32412187228082,8.92468828980972,"anova",0.0206789782335793,0.484475787380567,0.207706642540026,725.318520318464,"anova",0.00105071019868991,0.000889116580918617,0.00026733934246297,-1936.82675719419,"anova",0.000845206337887006,0.0675094939849371,0.0199176908664919,-212.488834363923,"anova",0.00188221611173271,0.270423794211198,0.0858331884580988,371.830133030922,"anova",0.0390726752257256,0.521603016156641,0.25110775954058,801.220702755442,"tweedie",2353.66191379956,0.000297889771437853,0.240640750438386,3.6824883624713,0.886156763025716,0,1.5,"quantile_regression",1623.74739683096,0.0366995480655992,4.60374127229043,-2.70267558937708,1.79769313486232e+308,2.18878256518066
"lm",1807.98304347356,3.5220964408553e-09,3.11127540654711,6.18338967880805,19.2382282367727,"anova",2.81404932727244e-08,1.21395925359246,0.209891582577731,729.504285189172,"anova",3.42188394758032e-09,0.00191698786951298,0.000309749968267311,-1877.92810876367,"anova",6.93213394991758e-10,0.146866513263758,0.0226474061247364,-161.114034199275,"anova",3.66338198213927e-10,0.602878881118364,0.0913328732715802,396.672147817861,"anova",1.23777052639965e-07,1.38229061239577,0.251899902271365,802.48055376094,"tweedie",2348.50486272873,4.04688815694854e-12,0.215051760347511,7.38916622168657,1.58905320347406,0,1.5,"quantile_regression",1711.00083999352,6.8889187137211e-05,12.1508174571856,10.452394454853,16.7734993346445,2.98814322902843
"lm",1638.99843807703,0.0197682053221705,2.03922784163404,2.34979547864291,4.79176836219442,"anova",0.161395166401241,0.286486052818363,0.2038103136727,717.743726140664,"anova",0.0197689702710825,0.00047796155463636,0.000203406880723637,-2046.15095135875,"anova",0.0208740104333202,0.0387775978192825,0.0166507220745596,-284.150731065052,"anova",0.0399979240090022,0.166356296077588,0.080466867545215,346.006042168588,"anova",0.229720705205227,0.298480017901877,0.247743507904731,795.825423063029,"tweedie",2248.96020567546,0.017148609561026,0.228735801347621,2.40377518485255,0.549829443166774,0,1.5,"quantile_regression",1557.18060479278,1,0,-2.53978376705487,6.27697529503804,2.20931810934691
"lm",1899.08946238514,0.012502568798998,3.90711319484488,2.52065740931565,9.84849382362067,"anova",0.0417130819655828,0.454637497779608,0.221808024611825,751.592737106366,"anova",0.0121071911657612,0.000982496370726758,0.000387983077037159,-1787.84958687353,"anova",0.00306558599918071,0.0772766986375754,0.0257758893820035,-109.356350430432,"anova",0.0032015791301084,0.292657732067531,0.0980703631221319,425.141920436134,"anova",0.0803039292469935,0.466304060849375,0.265256858667497,823.14728941602,"tweedie",2748.04687254639,0.0196468335494535,0.310059138360338,2.35215295935539,0.729306519869449,0,1.5,"quantile_regression",1734.59830550355,0.109826081229155,3.87752648093974,-1.79769313486232e+308,9.96150436886432,2.4141164159117
"lm",1864.2783072257,0.46222769904271,3.58146129493827,0.73661612156571,2.63816212861513,"anova",0.741113178289949,-0.0726862949084649,0.219700487386312,747.773914726161,"anova",0.459364288817829,0.000264020005338643,0.000356137792368219,-1822.10719071739,"anova",0.344453429152103,0.0234402192158843,0.0247346204245175,-125.850604844705,"anova",0.489775232472932,0.066770509342531,0.0964952323960629,418.66527636487,"anova",0.545538557968489,-0.159184004560661,0.262895689333775,819.570769604378,"tweedie",2737.94748184209,0.468864879297767,0.281470805251468,0.725724037559224,0.204270129242142,0,1.5,"quantile_regression",1697.56755062027,0.0794920447133272,-3.44380074586542,-6.0475102991986,-2.68299152320332,1.9536956997958
"lm",1874.67715839289,3.32986622237039e-05,3.67578982518278,4.24708050369268,15.6113753022057,"anova",0.00187075582909076,0.704106244840848,0.223352222759568,754.367835468227,"anova",3.30217212713541e-05,0.00155364016492278,0.000365637813647155,-1811.57697069108,"anova",2.56025161295694e-05,0.110514095525031,0.0256352423703894,-111.544940452855,"anova",8.99006582585189e-05,0.396174863365783,0.0990774283905071,429.228495365744,"anova",0.00404050046599871,0.776211103166651,0.266832393454079,825.51612417063,"tweedie",2651.42983216016,1.5582789696175e-06,0.238997480460371,4.95358042101218,1.18389323987974,0,1.5,"quantile_regression",1747.09058431504,0.0054848401025962,6.99644831518093,2.06555095724751,10.5764415117745,2.49165573629732
"lm",1750.86785281121,0.00681784131140034,2.69728244430063,2.73431802195144,7.37522799774442,"anova",0.0131390179759801,0.502454932520636,0.200776284442687,711.744345794935,"anova",0.00666969246234629,0.000735817107848454,0.000268367979322067,-1935.29063762822,"anova",0.00208203629469814,0.0601972130321778,0.0192971442783789,-225.149316351207,"anova",0.00143258118639028,0.263402990189159,0.0814600437235519,350.912891191486,"anova",0.0245010675202574,0.553475413092815,0.244196855470457,790.057709496879,"tweedie",2319.01449959331,0.00937208485110447,0.304544875563594,2.62383583063125,0.799075756538894,0,1.5,"quantile_regression",1584.77778929671,0.00100295104439274,5.91617653871668,-1.79769313486232e+308,7.35554801859678,1.77158862938176
"lm",1989.24972586876,0.0870479126359631,4.89492741110217,1.71970924464328,8.41785192073021,"anova",0.968489282119864,0.00891934134622283,0.225503040264328,758.201292074753,"anova",0.0871846083699088,0.000832037264870526,0.000484035328748316,-1699.37111705515,"anova",0.121321971031489,0.0440967462482152,0.0283411091517648,-71.4068160677431,"anova",0.360894732209744,0.0933492152177131,0.101933776254224,440.597175611578,"anova",0.856449114080693,-0.048660831902038,0.268648206289653,828.228931762787,"tweedie",2930.02268139812,0.0557342358536922,0.300688805315325,1.92442993858038,0.578654539144777,0,1.5,"quantile_regression",1757.38244613329,0.152764784456883,-3.24810619803102,-4.02233385420642,2.05634079764161,2.26293449853373
"lm",2022.22937113353,0.0461806343558978,5.31561417335729,2.00633982656471,10.6649284186586,"anova",0.193736846229509,0.288560001303641,0.221283024422333,750.644849874038,"anova",0.045860084325287,0.00105532384781367,0.000525212173640111,-1666.71334750258,"anova",0.035240349565866,0.0621368721307235,0.0293080769134393,-57.9869081521382,"anova",0.0463341554368843,0.201363026128325,0.100434712995756,434.670993392182,"anova",0.279511848275504,0.286386914662574,0.264100275019531,821.39937986344,"tweedie",2900.9860464844,0.026306987843096,0.314898579002685,2.23842105351557,0.704875608961746,0,1.5,"quantile_regression",1772.29050355817,0.196268752128703,2.93159641185872,-4.77107195037127,7.14010528081021,2.2609410400275
"lm",1968.72126171497,0.374232431650588,4.65005146042188,0.890585531349971,4.14126855068453,"anova",0.168614448934948,0.302833890429016,0.21917154372653,746.809726756281,"anova",0.367332295535726,0.000416123425736159,0.000460543030140308,-1719.27175857069,"anova",0.144715358866864,0.0407157656001715,0.0278068331669302,-79.0194492500741,"anova",0.0697202540466137,0.179315545306843,0.0983305065429855,426.201563699151,"anova",0.227096182566547,0.317840113308064,0.2623233486765,818.698994832477,"tweedie",2997.10021987372,0.396683984594707,0.372042319015715,0.849401082470148,0.316013148496653,0,1.5,"quantile_regression",1713.75787042127,1,0,-2.72921105992295,4.58095126704793,2.01434741016868
