"lm.model","lm.AIC","lm.p_value","lm.std_err","lm.t_value","lm.estimate","anova.model","anova.p_value","anova.estimate","anova.std_err","anova.AIC","anova._c_10000.model","anova._c_10000.p_value","anova._c_10000.estimate","anova._c_10000.std_err","anova._c_10000.AIC","anova._c_100.model","anova._c_100.p_value","anova._c_100.estimate","anova._c_100.std_err","anova._c_100.AIC","anova._c_10.model","anova._c_10.p_value","anova._c_10.estimate","anova._c_10.std_err","anova._c_10.AIC","anova._c_0.5.model","anova._c_0.5.p_value","anova._c_0.5.estimate","anova._c_0.5.std_err","anova._c_0.5.AIC","tweedie.model","tweedie.AIC","tweedie.p_value","tweedie.std_err","tweedie.t_value","tweedie.estimate","tweedie.link.power","tweedie.var.power","quantile_regression.model","quantile_regression.AIC","quantile_regression.p_value","quantile_regression.estimate","quantile_regression.lower_bound","quantile_regression.upper_bound","quantile_regression.std_err"
"lm",2085.12404778192,0.00829522006735883,6.22071748548519,2.6666238471551,16.5883135932095,"anova",0.276854483564973,0.250902063085046,0.230097238567711,766.268633987861,"anova",0.00807893126609409,0.00163917176357152,0.000612587259984772,-1605.15771696774,"anova",0.0043654141083645,0.0908833397721801,0.0315165555136281,-28.9269725447451,"anova",0.0216457327886632,0.245472083606323,0.10604190905634,456.401589376179,"anova",0.446009071642775,0.208495974099453,0.273040141116993,834.715364177804,"tweedie",2988.62907384363,0.000933718962109622,0.295664050907463,3.36042220348925,0.993556041443015,0,1.5,"quantile_regression",1829.8144081923,0.544955333244499,1.86111611930009,-1.79769313486232e+308,7.54892947053985,3.06921112212414
"lm",2223.38021109809,0.0134284096302373,8.78921726826592,2.49459001200549,21.9254936107623,"anova",0.00940061272184675,0.631598456045118,0.240814092945189,784.477930500745,"anova",0.0120841234422321,0.0021685251834864,0.000856106612917664,-1471.27630951398,"anova",0.00017651850967585,0.138899570796596,0.0363324168645071,27.9519833360462,"anova",0.000109408523047398,0.451916262503986,0.114463264281904,486.969409823752,"anova",0.0271244645334468,0.633444543439161,0.284533845835148,851.208720611594,"tweedie",3467.16464443998,0.0140599187951094,0.456371961824655,2.47771320289415,1.13075883524365,0,1.5,"quantile_regression",1905.55499914805,0.479130104224819,-2.46857562126053,-3.17964361524334,11.9676457109469,3.48154618868864
"lm",1966.0499821239,0.000266439308604707,4.61910095336344,3.71279107331536,17.1497567863903,"anova",0.00948427146118688,0.603972515328072,0.230555862571165,767.065110388607,"anova",0.000263568122654896,0.00170403639507878,0.000458601497350671,-1720.96162180262,"anova",0.000180968839260173,0.112703991476636,0.0295313153651911,-54.9516691496459,"anova",0.000516599902282432,0.372197697214953,0.105435790101554,454.108692803603,"anova",0.0194863130857184,0.645969811560566,0.274263315155884,836.503295259022,"tweedie",2898.07754241355,2.5745234955704e-05,0.265472985448963,4.30967697572979,1.14410281306765,0,1.5,"quantile_regression",1800.20988319687,0.0104876583956091,6.76058961209327,-2.6885843081995,10.0803489093249,2.61638741778463
"lm",1921.18348551296,6.85597013688738e-06,4.1289942148062,4.62159031773498,19.0825196851321,"anova",0.00165781448717313,0.744488953911301,0.233429227285455,772.019410015582,"anova",6.70383831427059e-06,0.00189896879759328,0.000410432872511769,-1765.34932024423,"anova",2.80550182983761e-06,0.135200564427559,0.0280278722482802,-75.8523833982641,"anova",1.32713431890323e-05,0.473047004648526,0.105877015780582,455.779112420288,"anova",0.0051803329587775,0.784418014301139,0.277469534595484,841.152292371203,"tweedie",2838.64176847766,8.35005846259285e-07,0.264875542666324,5.08870097206527,1.34787243144244,0,1.5,"quantile_regression",1796.21770066922,1,0,-2.25045063176994,15.383804182932,2.99134275303807
"lm",2087.967218955,7.8679322644155e-05,6.2650914135793,4.03265467914265,25.264950204227,"anova",0.000817327678619474,0.81094922814039,0.238574264918713,780.740093670202,"anova",7.30012339514086e-05,0.00250442725714852,0.00061812209457243,-1601.55987519789,"anova",8.52010819103784e-06,0.155529934918235,0.0340220937935115,1.67188801691877,"anova",1.58167256780651e-05,0.500110346096159,0.112983410975992,481.764236569208,"anova",0.00234653901948611,0.869531422646478,0.282101802531079,847.775038674291,"tweedie",3127.81469041624,4.76734230563189e-07,0.28905140902788,5.20796741199608,1.50537031860875,0,1.5,"quantile_regression",1873.80956917434,0.0259925070750846,6.47462321883832,-1.79769313486232e+308,12.1267584407947,2.88634686388698
"lm",1892.79605434421,5.64299451723831e-06,3.84612161514245,4.66619016786208,17.9467348649795,"anova",0.000548156834690728,0.7839665455947,0.223137675861593,753.983420205708,"anova",5.50136436630083e-06,0.00178576313902716,0.000382227533158954,-1793.82784885799,"anova",1.93541555952143e-06,0.126860378793246,0.0258580800998121,-108.08291299299,"anova",7.22503165765284e-06,0.454541420754166,0.0986091357383101,427.333400349215,"anova",0.00148629209419913,0.85968665737732,0.266781730397017,825.440169573554,"tweedie",2664.4387631506,1.34890510081755e-08,0.262074166374602,5.92714074312543,1.55335046923953,0,1.5,"quantile_regression",1730.7879840896,1,0,0,9.10998702822538,2.55834617905287
"lm",2191.0769800115,0.00316853969463734,8.10732182211238,2.987478044675,24.2204459446752,"anova",0.00608554165766899,0.647896412423413,0.233647863049866,772.393884867642,"anova",0.00292103574521764,0.00238760267267435,0.000792331015034165,-1502.24257487938,"anova",0.000243888518540369,0.130854288847206,0.0350189036140584,13.2230431819264,"anova",0.00029120856406242,0.403829534294351,0.109478527272917,469.159208428985,"anova",0.0131695245022781,0.693535597907226,0.277224224719601,840.798497308244,"tweedie",3267.51190473097,3.79847509470299e-05,0.364344334150001,4.21477701582905,1.53563012542296,0,1.5,"quantile_regression",1853.87351645842,1,0,0,9.00439901976214,2.50613656474607
"lm",2152.89182699611,0.000522760922985877,7.36916718765673,3.52675188412699,25.9892242635152,"anova",0.00343995263499809,0.681521350559078,0.230156756180887,766.372085758729,"anova",0.000474295551243262,0.00256867950366147,0.000722744014320043,-1539.01223636903,"anova",1.74474128505622e-05,0.148998357160627,0.0338395815662968,-0.479696556287529,"anova",2.59302584653637e-05,0.458346373845317,0.106395625888251,457.733621999814,"anova",0.0102641288518259,0.710176244783197,0.274028052084544,836.160028011225,"tweedie",3037.43183521085,2.58021792261758e-07,0.331250423430514,5.33645939574148,1.76770443445911,0,1.5,"quantile_regression",1845.00301340378,1,0,-3.11209964465412,11.5393147253058,2.52836676312659
"lm",1935.94095958416,1.26144017845204e-05,4.28417298448477,4.47984218211325,19.1924188513649,"anova",0.0139150199367598,0.555585557594228,0.22388875757438,755.327559815133,"anova",1.23559959268387e-05,0.0019080907456957,0.000425466020098611,-1750.96024156216,"anova",6.14879638894031e-06,0.129022523179211,0.027767288826258,-79.5886976114042,"anova",6.93509245963763e-05,0.411329726885858,0.101196710659169,437.694336786832,"anova",0.0416485954919442,0.547153710186562,0.266859564518996,825.556853380858,"tweedie",2666.72682975845,1.82091049240834e-08,0.241857890292833,5.8689062171282,1.41944127600112,0,1.5,"quantile_regression",1777.73582149944,0.531885003915843,1.50083264968486,-1.79769313486232e+308,8.52315994186232,2.39661362114106
"lm",2053.19949914538,0.0228002185675658,5.74352928772115,2.29467596919556,13.1795386349046,"anova",0.082595931631516,0.405768736182244,0.232577726702465,770.557626626547,"anova",0.0221959386046348,0.00130944411609681,0.000568057615085078,-1635.34513655455,"anova",0.00739051224816361,0.086974888977067,0.0321339425862295,-21.1670152276492,"anova",0.00888235614264106,0.285115692518354,0.107887448186363,463.303250519743,"anova",0.142498725602944,0.406643830378586,0.276176212096872,839.283480252439,"tweedie",3248.15100435209,0.0243744643026938,0.376156260246417,2.26854972367783,0.853329180241694,0,1.5,"quantile_regression",1799.46037559432,1,0,-2.23106384066657,0,2.33307172319565
